"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRKL.1",-6.19777319289448,11.292250222148,-7.82579313466184,2.10715480766516e-09,1.05147024902491e-05,11.1145276273945
"Nfu_g_1_018982",-4.85518766826643,10.0940126275848,-7.34265602380022,9.16104620335272e-09,2.2856810277365e-05,9.79072609177721
"RPL9",-5.98039198173383,11.1663414747543,-7.01534271016173,2.50915563932123e-08,4.17356221340432e-05,8.87849779478834
"SSSCA1.1",-4.53208592057791,9.99410915152169,-6.86570844177653,3.9881733458783e-08,4.97524624898319e-05,8.45782318277431
"acmsd.1",-6.49522441815436,11.9792275473883,-6.72039684937482,6.26382795776239e-08,6.25130030184687e-05,8.04734305873914
"LYPLA2.1",-4.56845927232738,10.5294678900489,-6.47730199844981,1.33673798299606e-07,0.000111172042252505,7.35682130496641
"FKBP11",-4.84762651426359,11.0190597629826,-6.42380205358737,1.5800517110452e-07,0.000112635114830222,7.20428406323016
"eef1da",-4.20234611605501,10.3396128095937,-6.34905152754005,1.99633285230891e-07,0.000124521261662768,6.99085475868329
"HNRNPH1L.2",-5.16068821793348,11.1967406983881,-6.17370911505849,3.45790426131077e-07,0.000181208579106701,6.48898844128206
"G4P62_008991",-4.92103916286335,10.5383393696577,-6.15809487993245,3.6314344510361e-07,0.000181208579106701,6.444224005938
"NACA",-4.673846855811,10.5764192822996,-6.08667718803516,4.543345057143e-07,0.000189769072625426,6.23934552675713
"SHMT2.3",-5.3773797525353,12.1871954865366,-6.08526060198115,4.5635849128359e-07,0.000189769072625426,6.23527966317105
"EPHX2.1",-5.51388310347708,10.7424673633275,-6.05518312067123,5.01530594685011e-07,0.000192510589806016,6.1489342432634
"NUP210.1",-3.57092666833036,9.71962661174128,-5.88598402274012,8.53095417195293e-07,0.000286323892720587,5.66267754719646
"Nfu_g_1_004152",5.09898619981358,12.3460655974671,5.88274651030927,8.61812956911596e-07,0.000286323892720587,5.65336630809467
"atic",3.86885548972532,11.1416914863157,5.84893698164137,9.58350556724356e-07,0.000286323892720587,5.55611661766672
"PCYT2.2",3.51711159622741,13.2555258610265,5.82795159496441,1.02363704100203e-06,0.000286323892720587,5.49574440249943
"HEBP2",-4.22513412100722,10.9213210716807,-5.8251041715838,1.03283167714841e-06,0.000286323892720587,5.48755221619497
"KPNB1",-4.52451406553469,10.7977667573087,-5.80064719075673,1.11528514422519e-06,0.000288145778100224,5.41718358079088
"PSMC4.1",-4.38566633124429,10.7122174373797,-5.77745490693691,1.19954580169712e-06,0.000288145778100224,5.35044702943677
"SMC3.1",3.112609335527,10.7915127586024,5.75308867117579,1.29493435493693e-06,0.000288145778100224,5.280326654192
"DARS.1",-4.76147944014414,11.6876886389984,-5.74425283519899,1.3313669540487e-06,0.000288145778100224,5.25489798363108
"SEL1L",3.65756043446159,11.2017809939112,5.7436240758113,1.3339982052491e-06,0.000288145778100224,5.25308845497319
"CCDC47",3.52790567722106,11.1920319532651,5.7314752673578,1.38587147783675e-06,0.000288145778100224,5.21812448843542
"RPL31",-5.06919160074416,11.6749492341348,-5.7076632142214,1.49346341202508e-06,0.000298095297040206,5.14959183702834
"G4P62_004521",-4.65570027194067,11.0861737985011,-5.65261653897542,1.77520705465483e-06,0.000337954465758674,4.99115955623513
