"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016054","GO:0016054","organic acid catabolic process","36/389","243/18842",0.148148148148148,7.17585451775683,14.0685287070858,1.21626030798504e-20,3.575805305476e-17,3.575805305476e-17,"AMDHD1/ALDH5A1/CRYL1/ECH1/ARG1/ABAT/HADHB/SDSL/AMT/BCKDHA/DLST/GSTZ1/ACOX1/LDHD/NAGK/ACOX3/SHMT2/PAH/ECI1/ASS1/ETFDH/GLS2/GCAT/AMDHD2/LDHB/GCSH/DECR2/HSD17B10/CROT/TAT/GPT/ACADM/HADH/PHYH/ACAA1/DBT",36
"GO:0046395","GO:0046395","carboxylic acid catabolic process","36/389","243/18842",0.148148148148148,7.17585451775683,14.0685287070858,1.21626030798504e-20,3.575805305476e-17,3.575805305476e-17,"AMDHD1/ALDH5A1/CRYL1/ECH1/ARG1/ABAT/HADHB/SDSL/AMT/BCKDHA/DLST/GSTZ1/ACOX1/LDHD/NAGK/ACOX3/SHMT2/PAH/ECI1/ASS1/ETFDH/GLS2/GCAT/AMDHD2/LDHB/GCSH/DECR2/HSD17B10/CROT/TAT/GPT/ACADM/HADH/PHYH/ACAA1/DBT",36
"GO:0044282","GO:0044282","small molecule catabolic process","42/389","359/18842",0.116991643454039,5.66672633923137,12.9618386597601,6.39719917935775e-20,1.25385103915412e-16,1.25385103915412e-16,"AMDHD1/ALDH5A1/CRYL1/ECH1/ARG1/ABAT/HADHB/SDSL/AMT/BCKDHA/DLST/ALDOB/GSTZ1/ACOX1/LDHD/NAGK/ACOX3/SHMT2/UPB1/PAH/ECI1/ASS1/ETFDH/GLS2/GALM/GCAT/AMDHD2/ACSS2/LDHB/GCSH/DECR2/HSD17B10/CROT/ENO3/TAT/GPT/PFKL/ACADM/HADH/PHYH/ACAA1/DBT",42
"GO:0006520","GO:0006520","amino acid metabolic process","32/389","271/18842",0.118081180811808,5.7195002798357,11.3620396681601,1.54175431044229e-15,2.26637883635017e-12,2.26637883635017e-12,"AMDHD1/ALDH5A1/FH/ARG1/PARK7/ABAT/ADI1/SDSL/FARSB/AMT/BCKDHA/DLST/GSTZ1/SHMT2/FARSA/UPB1/PAH/ASS1/GLS2/AGMAT/GCAT/GCSH/GSS/MTAP/HSD17B10/ACY1/TAT/GPT/P4HB/GNMT/DBT/ALDH18A1",32
"GO:0002181","GO:0002181","cytoplasmic translation","26/389","215/18842",0.12093023255814,5.85749985054104,10.4004912546738,4.29508825989131e-13,5.05102379363218e-10,5.05102379363218e-10,"EEF2/RPL31/RPL13/RPS15/RPL24/EIF2S3/RPL27A/RPL3/EIF3C/RPS6/EIF3H/RPS12/RPS20/VCP/CSDE1/RPL9/RPS19/RPS7/RPL28/RPL22/NPLOC4/RPS4X/RPL8/ABCE1/RPL23A/RPL36",26
"GO:0009063","GO:0009063","amino acid catabolic process","19/389","111/18842",0.171171171171171,8.29102109821904,11.1856865969835,1.27281156805222e-12,1.24735533669118e-09,1.24735533669118e-09,"AMDHD1/ALDH5A1/ARG1/ABAT/SDSL/AMT/BCKDHA/DLST/GSTZ1/SHMT2/PAH/ASS1/GLS2/GCAT/GCSH/HSD17B10/TAT/GPT/DBT",19
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","24/389","193/18842",0.124352331606218,6.02325612371299,10.1842602065333,1.89963898301357e-12,1.5956967457314e-09,1.5956967457314e-09,"AMDHD1/ALDH5A1/FH/ARG1/PARK7/ADI1/SDSL/AMT/DLST/GSTZ1/SHMT2/PAH/ASS1/GLS2/AGMAT/GCAT/GCSH/MTAP/HSD17B10/TAT/GPT/P4HB/GNMT/ALDH18A1",24
"GO:1904872","GO:1904872","regulation of telomerase RNA localization to Cajal body","8/389","12/18842",0.666666666666667,32.2913453299057,15.7428364283266,1.41532250374406e-11,1.04026204025189e-08,1.04026204025189e-08,"EXOSC10/CCT3/CCT5/DKC1/CCT7/CCT8/CCT6A/TCP1",8
"GO:0170033","GO:0170033","L-amino acid metabolic process","20/389","159/18842",0.125786163522013,6.09270666601995,9.36304696640385,1.11490215166819e-10,7.28402739089882e-08,7.28402739089882e-08,"AMDHD1/ARG1/PARK7/ADI1/SDSL/DLST/GSTZ1/SHMT2/PAH/ASS1/GLS2/AGMAT/GCAT/MTAP/HSD17B10/TAT/GPT/P4HB/GNMT/ALDH18A1",20
"GO:0048193","GO:0048193","Golgi vesicle transport","28/389","319/18842",0.0877742946708464,4.25152509045781,8.50393774821008,1.29168052730261e-10,7.59508150053936e-08,7.59508150053936e-08,"COPA/VAPB/SEC24D/SPTBN1/RAB8A/MACF1/GOLGA5/SURF4/TRAPPC8/AP1G1/ARFGAP2/AP3M1/ACBD3/VCP/PSMD14/VAPA/ANXA13/AP2A1/SEC13/BCAP31/EPS15/TRIP11/SEC16A/VTI1B/GOLGA2/COPE/RAB1A/TMED9",28
