"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","GO:0044282","small molecule catabolic process","28/197","359/18842",0.0779944289693593,7.45975142457192,12.7022510779526,1.00846595441295e-16,5.92977981194815e-13,5.92977981194815e-13,"HSD17B10/ABCB11/GCSH/HSD17B14/PAH/GSTZ1/SDSL/BDH2/ALDOB/EHHADH/CYP46A1/ACOX3/SHMT2/ACOX1/ASS1/ACADM/GCAT/GAPDH/LDHB/IDO1/ABAT/DHDH/ECI2/ETFDH/PHYH/ENO3/AMT/PLIN5",28
"GO:0016054","GO:0016054","organic acid catabolic process","22/197","243/18842",0.0905349794238683,8.65918823504836,12.3522188210997,1.11762755395043e-14,2.19055000574285e-11,2.19055000574285e-11,"HSD17B10/ABCB11/GCSH/PAH/GSTZ1/SDSL/BDH2/EHHADH/ACOX3/SHMT2/ACOX1/ASS1/ACADM/GCAT/LDHB/IDO1/ABAT/ECI2/ETFDH/PHYH/AMT/PLIN5",22
"GO:0046395","GO:0046395","carboxylic acid catabolic process","22/197","243/18842",0.0905349794238683,8.65918823504836,12.3522188210997,1.11762755395043e-14,2.19055000574285e-11,2.19055000574285e-11,"HSD17B10/ABCB11/GCSH/PAH/GSTZ1/SDSL/BDH2/EHHADH/ACOX3/SHMT2/ACOX1/ASS1/ACADM/GCAT/LDHB/IDO1/ABAT/ECI2/ETFDH/PHYH/AMT/PLIN5",22
"GO:0002181","GO:0002181","cytoplasmic translation","20/197","215/18842",0.0930232558139535,8.89717860937315,11.9708124650949,1.14922632241067e-13,1.68936269394369e-10,1.68936269394369e-10,"RPL36A/EEF2/RPL3/RPL13/EIF2B3/RPL28/EIF3C/RPS6/RPL18A/EIF2S3/DRG1/RPS12/RPL27/GAPDH/ASCC2/RPS7/RPL13A/RPS27/DENR/RPS20",20
"GO:0019395","GO:0019395","fatty acid oxidation","13/197","96/18842",0.135416666666667,12.9518824027073,12.0676169278941,2.26405049760854e-11,2.66252338518764e-08,2.66252338518764e-08,"HSD17B10/ABCB11/BDH2/EHHADH/ACOX3/ACOX1/POR/ACADM/FABP3/ECI2/ETFDH/PHYH/PLIN5",13
"GO:0034440","GO:0034440","lipid oxidation","13/197","104/18842",0.125,11.9555837563452,11.5158094422292,6.37922678520644e-11,6.25164224950231e-08,6.25164224950231e-08,"HSD17B10/ABCB11/BDH2/EHHADH/ACOX3/ACOX1/POR/ACADM/FABP3/ECI2/ETFDH/PHYH/PLIN5",13
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","23/197","438/18842",0.0525114155251142,5.02243701179797,8.75536163543369,2.19325115897666e-10,1.8423309735404e-07,1.8423309735404e-07,"TKT/NDUFS7/OGDH/ACO2/ALDOB/SUCLG1/PARK7/SHMT2/ACOX1/POR/GPI/ACADM/GAPDH/CYC1/NDUFB11/DHTKD1/ETFDH/GAPDHS/NDUFA12/SDHA/FH/ENO3/NDUFS2",23
"GO:0045333","GO:0045333","cellular respiration","19/197","303/18842",0.0627062706270627,5.99752056423916,9.01439627641574,4.75287957444695e-10,3.20877209343214e-07,3.20877209343214e-07,"NDUFS7/OGDH/ACO2/ALDOB/SUCLG1/PARK7/SHMT2/GPI/GAPDH/CYC1/NDUFB11/DHTKD1/ETFDH/GAPDHS/NDUFA12/SDHA/FH/ENO3/NDUFS2",19
"GO:0009060","GO:0009060","aerobic respiration","18/197","269/18842",0.0669144981412639,6.40001509633348,9.16925347615012,4.91138585729409e-10,3.20877209343214e-07,3.20877209343214e-07,"NDUFS7/OGDH/ACO2/ALDOB/SUCLG1/PARK7/SHMT2/GPI/GAPDH/CYC1/NDUFB11/DHTKD1/GAPDHS/NDUFA12/SDHA/FH/ENO3/NDUFS2",18
"GO:0006635","GO:0006635","fatty acid beta-oxidation","10/197","67/18842",0.149253731343284,14.2753238881733,11.1891333114794,1.83543143932131e-09,1.07923368632093e-06,1.07923368632093e-06,"HSD17B10/ABCB11/BDH2/EHHADH/ACOX3/ACOX1/ACADM/ECI2/ETFDH/PLIN5",10
