sample,sample_column,source_dataset,match_type,group_name,tissue,age,environment,sex
EM_DIA-30SPD_10_S6-A10_1_9670.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_10_S6-A10_1_9670.d,EM_251_batch1,exact,L_18FL,Liver,18wk,Lab,Female
EM_DIA-30SPD_11_S6-A11_1_9671.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_11_S6-A11_1_9671.d,EM_251_batch1,exact,L_18ML,Liver,18wk,Lab,Male
EM_DIA-30SPD_12_S6-A12_1_9672.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_12_S6-A12_1_9672.d,EM_251_batch1,exact,L_18MM,Liver,18wk,Mesocosm,Male
EM_DIA-30SPD_13_S6-B1_1_9673.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_13_S6-B1_1_9673.d,EM_251_batch1,exact,L_18FM,Liver,18wk,Mesocosm,Female
EM_DIA-30SPD_14_S6-B2_1_9674.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_14_S6-B2_1_9674.d,EM_251_batch1,exact,L_18FM,Liver,18wk,Mesocosm,Female
EM_DIA-30SPD_16_S6-B4_1_9676.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_16_S6-B4_1_9676.d,EM_251_batch1,exact,L_18MM,Liver,18wk,Mesocosm,Male
EM_DIA-30SPD_17_S6-B5_1_9677.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_17_S6-B5_1_9677.d,EM_251_batch1,exact,L_8ML,Liver,8wk,Lab,Male
EM_DIA-30SPD_18_S6-B6_1_9678.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_18_S6-B6_1_9678.d,EM_251_batch1,exact,L_8ML,Liver,8wk,Lab,Male
EM_DIA-30SPD_1_S6-A1_1_9661.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_1_S6-A1_1_9661.d,EM_251_batch1,exact,L_18FL,Liver,18wk,Lab,Female
EM_DIA-30SPD_2_S6-A2_1_9662.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_2_S6-A2_1_9662.d,EM_251_batch1,exact,L_18FM,Liver,18wk,Mesocosm,Female
EM_DIA-30SPD_3_S6-A3_1_9663.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_3_S6-A3_1_9663.d,EM_251_batch1,exact,L_18MM,Liver,18wk,Mesocosm,Male
EM_DIA-30SPD_4_S6-A4_1_9664.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_4_S6-A4_1_9664.d,EM_251_batch1,exact,L_18MM,Liver,18wk,Mesocosm,Male
EM_DIA-30SPD_5_S6-A5_1_9665.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_5_S6-A5_1_9665.d,EM_251_batch1,exact,L_18ML,Liver,18wk,Lab,Male
EM_DIA-30SPD_6_S6-A6_1_9666.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_6_S6-A6_1_9666.d,EM_251_batch1,exact,L_18FM,Liver,18wk,Mesocosm,Female
EM_DIA-30SPD_7_S6-A7_1_9667.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_7_S6-A7_1_9667.d,EM_251_batch1,exact,L_18ML,Liver,18wk,Lab,Male
EM_DIA-30SPD_8_S6-A8_1_9668.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_8_S6-A8_1_9668.d,EM_251_batch1,exact,L_18FL,Liver,18wk,Lab,Female
EM_DIA-30SPD_19_S6-B7_1_9679.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_19_S6-B7_1_9679.d,EM_251_batch2,exact,L_8ML,Liver,8wk,Lab,Male
EM_DIA-30SPD_20_S6-B8_1_9680.d,/cluster/VAST/ngomae-lab/proteomics/proteome_data_all/EM_DIA-30SPD_20_S6-B8_1_9680.d,EM_251_batch2,exact,L_8ML,Liver,8wk,Lab,Male
